[ 2025-09-19 13:11:24,654 ] 20 root - INFO - Initiate the data ingestion
[ 2025-09-19 13:12:17,677 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-09-19 13:12:17,677 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-09-19 13:12:17,677 ] 75 root - INFO - Exporting train and test file path.
[ 2025-09-19 13:12:18,828 ] 84 root - INFO - Exported train and test file path.
[ 2025-09-19 13:12:18,829 ] 22 root - INFO - Data Initiation Completed
[ 2025-09-19 13:12:18,886 ] 26 root - INFO - Initiate the data Validation
[ 2025-09-19 13:12:19,196 ] 32 root - INFO - Required number of columns:31
[ 2025-09-19 13:12:19,198 ] 33 root - INFO - Data frame has columns:57
[ 2025-09-19 13:12:19,198 ] 32 root - INFO - Required number of columns:31
[ 2025-09-19 13:12:19,198 ] 33 root - INFO - Data frame has columns:57
[ 2025-09-19 13:12:20,486 ] 28 root - INFO - data Validation Completed
