[ 2025-09-19 18:08:14,468 ] 20 root - INFO - Initiate the data ingestion
[ 2025-09-19 18:08:36,699 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-09-19 18:08:36,699 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-09-19 18:08:36,699 ] 75 root - INFO - Exporting train and test file path.
[ 2025-09-19 18:08:37,904 ] 84 root - INFO - Exported train and test file path.
[ 2025-09-19 18:08:37,904 ] 22 root - INFO - Data Initiation Completed
[ 2025-09-19 18:08:37,980 ] 26 root - INFO - Initiate the data Validation
[ 2025-09-19 18:08:38,185 ] 32 root - INFO - Required number of columns:31
[ 2025-09-19 18:08:38,227 ] 33 root - INFO - Data frame has columns:57
[ 2025-09-19 18:08:38,227 ] 32 root - INFO - Required number of columns:31
[ 2025-09-19 18:08:38,227 ] 33 root - INFO - Data frame has columns:57
[ 2025-09-19 18:08:39,392 ] 28 root - INFO - data Validation Completed
[ 2025-09-19 18:08:39,392 ] 31 root - INFO - data Transformation started
[ 2025-09-19 18:08:39,405 ] 62 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-09-19 18:08:39,405 ] 64 root - INFO - Starting data transformation
[ 2025-09-19 18:08:39,583 ] 47 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-09-19 18:08:39,583 ] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-09-19 18:16:58,594 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-19 18:16:58,621 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-19 18:16:58,621 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-09-19 18:16:58,624 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-09-19 18:16:58,646 ] 35 root - INFO - data Transformation completed
[ 2025-09-19 18:16:58,646 ] 36 root - INFO - Model Training ssta
